symbol,session,prev_close,open,implied_factor,nearest_clean,clean_distance_pct
USK,2026-05-19,27.22,21.75,0.799045,0.8,0.119
V2RETAIL,2026-03-25,1927.2,195.0,0.101183,0.1,1.183
VAISHALI,2025-01-27,20.08,16.0,0.796813,0.8,0.398
VBL,2024-09-12,1569.15,635.5,0.404996,0.4,1.249
VELJAN,2026-05-06,1044.6,812.0,0.777331,0.8,2.834
VIPULLTD,2026-05-19,11.52,9.11,0.790799,0.8,1.15
VMART,2025-06-23,3556.5,905.0,0.254464,0.25,1.785
VRLLOG,2025-08-14,557.65,280.0,0.502107,0.5,0.421
WAAREEINDO,2026-04-06,487.0,385.0,0.790554,0.8,1.181
WEBELSOLAR,2025-11-14,1352.8,135.0,0.099793,0.1,0.207
WEL,2024-11-12,1564.3,157.5,0.100684,0.1,0.684
WIPRO,2024-12-03,584.55,295.35,0.50526,0.5,1.052
ZODIAC,2026-08-03,346.72,270.05,0.778871,0.8,2.641
ZYDUSWELL,2025-09-18,2578.2,521.9,0.202428,0.2,1.214
