symbol,date,sector,score,predicted,residual,absResidual,q,d,dq,atv,volr,turnr,tradesr,ranger,absretr,q3,d3,qRank,dRank
"RELIANCE","2025-04-29","Energy",3.19,3.2064782432254226,-0.016478243225422684,0.016478243225422684,0.933091387088075,1.0899427636958299,1.0177923961374002,1.0329631701479198,2.2996869100493975,2.553617848422672,2.2419172389607342,1.3058361537999086,1.6274828836219852,0.8416613376876977,0.9338986205522902,0.4861111111111111,0.7870370370370371
"RELIANCE","2025-04-28","Energy",2.38,2.3481800320935338,0.03181996790646613,0.03181996790646613,0.6834723477304594,0.9353701427303148,0.6337403885159897,0.7378081705191191,2.3422457964177026,2.54465495825918,3.280817792533071,1.922998185176354,4.427464158721042,0.8986091971394,0.9298295237007622,0.09259259259259259,0.4305555555555556
"RELIANCE","2025-04-25","Energy",2.53,2.4849422462589246,0.045057753741075235,0.045057753741075235,0.9084202782445586,0.7763829552307261,0.6907731467307254,0.9444348283429319,1.063199745931499,1.1103053893145973,1.119583626436265,1.345700854482473,0.07178643183126948,0.9486870595303896,0.9549498308499146,0.4027777777777778,0.2037037037037037
"RELIANCE","2025-04-24","Energy",3.54,3.446430546608885,0.09356945339111489,0.09356945339111489,1.1039349654431825,1.0777354731412458,1.125670787811467,1.1431250017001813,0.7404414693082493,0.7700993745570518,0.6551914478813486,0.5185578862768279,0.09420379918977298,0.987492640312751,1.0711478345213656,0.6064814814814815,0.7175925925925926
"RELIANCE","2025-04-23","Energy",2.82,2.7525927473086744,0.06740725269132541,0.06740725269132541,0.8337059349034275,1.0107310641777718,0.8122731887281257,0.8627557242329844,0.7271672818127508,0.7561679921783386,0.840828169512993,0.7530258281311958,0.5009012264793796,0.8585813512983252,1.0447669448576098,0.1527777777777778,0.6157407407407407
"RELIANCE","2025-04-22","Energy",3.45,3.416854888946148,0.033145111053852094,0.033145111053852094,1.024837020591643,1.1249769662450793,1.1167606808043649,1.060649324076716,0.8958642010706772,0.9324419782653753,0.8323624355850175,0.644146636552975,0.24091728380142136,0.8615119447327443,1.0004453175030221,0.5648148148148148,0.7916666666666666
"RELIANCE","2025-04-21","Energy",2.55,2.5330494011380336,0.01695059886196626,0.01695059886196626,0.7172010983999054,0.9985928041499786,0.6981646391790203,0.7411738438916926,0.7030816586663607,0.7303802477249697,0.9267394356908452,1.310308219160965,1.2718255144565345,0.8109310697622957,0.9509505292007882,0.10648148148148148,0.5462962962962963
"RELIANCE","2025-04-17","Energy",2.59,2.5122433815474006,0.07775661845259929,0.07775661845259929,0.8424977152066845,0.8777661821140084,0.7210827003545,0.8510369557255926,1.033673910440127,1.0488740538085102,1.1652858820066199,2.2162431372721505,2.387241938031278,0.9597850025480099,0.9755619627250592,0.22685185185185186,0.35185185185185186
"RELIANCE","2025-04-16","Energy",2.84,2.794445528960252,0.045554471039747746,0.045554471039747746,0.8730943956802975,0.9764926013383772,0.8473920907863524,0.8652689817514005,0.5513823310961771,0.5482437888130391,0.591872125461811,0.4926415774289607,0.052749923843291455,1.0245599189452301,0.9709833355410655,0.3148148148148148,0.5648148148148148
"RELIANCE","2025-04-15","Energy",3.64,3.5162339955491584,0.12376600445084174,0.12376600445084174,1.163762896757048,1.0724271047227925,1.2275763408098246,1.159320919967426,0.8985178295918532,0.8983273876352479,0.726128500129505,0.579724017281634,1.4763199658100348,1.0367801842769835,0.9463231110314112,0.7592592592592593,0.4398148148148148
"RELIANCE","2025-04-11","Energy",2.95,2.857972379653112,0.09202762034688838,0.09202762034688838,1.0368224643983452,0.8640303005620267,0.883440153540761,1.008452820622043,0.7567156569376113,0.7384163268188504,0.6834968214633618,1.201597090188985,2.6504268078646356,1.0093691549442114,0.8612220440422605,0.5925925925925926,0.2222222222222222
"RELIANCE","2025-04-09","Energy",2.77,2.7142079606682428,0.05579203933175725,0.05579203933175725,0.9097551916755572,0.9025119278094145,0.8225982901359209,0.861321849305884,0.6852756126612012,0.6505137898957778,0.6943444285975446,0.9559613911347754,0.24183919360639547,0.8570988746464998,0.9111945907450982,0.4398148148148148,0.4232558139534884
"RELIANCE","2025-04-08","Energy",2.93,2.914899235909684,0.015100764090316243,0.015100764090316243,1.081529808758732,0.8171239037553407,0.8993388745186689,1.018473839257499,1.3244873383451863,1.2491953757172216,1.1063693420773455,1.4552083326867569,1.1823344412895873,0.7448367485101111,0.9414241824866614,0.7488372093023256,0.35348837209302325
"RELIANCE","2025-04-07","Energy",2.28,2.2930103389122105,-0.013010338912210706,0.013010338912210706,0.5800116235052102,1.0139479406705396,0.5778409663444508,0.5311996912801115,1.5407767741377085,1.411734001589301,2.580106157055933,2.528631224908281,2.74369262788734,0.6754302980528353,0.9953329325425329,0.03255813953488372,0.7534883720930232
"RELIANCE","2025-04-04","Energy",2.24,2.2286506030182074,0.011349396981792825,0.011349396981792825,0.5729688132663913,0.9932007030341036,0.5605177856200436,0.5502698756707604,1.2867628736700079,1.235875935853907,2.2106632943691666,2.3879842308434585,3.3158109468622357,0.8112767178506068,1.0346198153321062,0.027906976744186046,0.5534883720930233
"RELIANCE","2025-04-03","Energy",2.84,2.8030612988827257,0.03693870111727415,0.03693870111727415,0.8733104573869045,0.9788501539229553,0.849141484096776,0.8674934414806885,0.5267089671644689,0.5239453327600142,0.5811046851058861,0.8609378425683186,0.17918941113046596,0.8955321661852037,0.9839214040124613,0.2837209302325581,0.6139534883720931
"RELIANCE","2025-04-02","Energy",3.37,3.3641413173663284,0.00585868263367173,0.00585868263367173,0.9875508828985246,1.1318085890392602,1.1315940443019477,0.9869337051563192,0.699254182486197,0.7011080538633175,0.642544110623049,0.4883842965535161,0.09588911611284123,1.0040931150047423,0.9409022625249553,0.5255813953488372,0.8046511627906977
"RELIANCE","2025-04-01","Energy",2.49,2.432129520021051,0.05787047997894934,0.05787047997894934,0.8257351582701821,0.8411054690751686,0.6714706378425888,0.8328736386165099,0.8039499115199145,0.8147596347443885,0.9259721372768193,1.1855959000282115,1.5370979773087685,1.0720441591954128,0.9062648120119028,0.3023255813953488,0.27906976744186046
"RELIANCE","2025-03-28","Energy",3.22,3.181783134229658,0.038216865770342334,0.038216865770342334,1.19899330384552,0.8497927294604373,1.01580503097589,1.228981053092142,1.2329590207916812,1.2704696906482422,0.9459178119435623,1.1331982105955596,0.21112688029729434,1.0451704807172497,0.9785608861463563,0.8418604651162791,0.19069767441860466
"RELIANCE","2025-03-27","Energy",3.6,3.4669817361040933,0.13301826389590676,0.13301826389590676,1.191404015470536,1.0278962375001026,1.2242494149835323,1.2255237684568947,1.0332422771916265,1.0680675823577779,0.8038504216381883,0.5744811112111433,0.34518903440213516,0.9508337920639717,0.977355743654099,0.586046511627907,0.3395348837209302
"RELIANCE","2025-03-26","Energy",2.72,2.6669969847487276,0.0530030152512726,0.0530030152512726,0.7451141228356928,1.0579936914785288,0.7804608140303018,0.7688794341881763,0.8444204270469383,0.8746013271801001,1.061952564412713,1.0662008473389575,0.8181358197148197,0.912874274925931,1.0273489299155851,0.12093023255813953,0.5627906976744186
"RELIANCE","2025-03-25","Energy",2.64,2.6198793318328675,0.02012066816713265,0.02012066816713265,0.9159832378856864,0.8461773019836658,0.7755226894325764,0.9554960693772009,0.9824444959366766,1.0291348261102575,0.9964264696914819,1.0687003612845418,1.1268033639619395,1.251725717735846,1.0872217145971472,0.3767441860465116,0.2372093023255814
"RELIANCE","2025-03-24","Energy",3.61,3.612849894817159,-0.0028498948171589156,0.0028498948171589156,1.077525464056414,1.1778757962845612,1.252297279190635,1.1323192228901404,1.5223992205684473,1.6095120392301454,1.3196093293873115,0.952419799067438,1.909506972435863,1.4241163056217852,1.16025668083296,0.6,0.7906976744186046
"RELIANCE","2025-03-21","Energy",5.29,5.113573611961546,0.176426388038454,0.176426388038454,1.7616684512654375,1.2376120455232147,2.295273811472079,1.8263267969719335,1.734745773261552,1.8105794922317713,0.8832357778057255,0.47494802810687725,0.5473102212852815,1.5701267945612483,1.149106444939117,0.8930232558139535,0.6790697674418604
"RELIANCE","2025-03-20","Energy",4.17,4.109643035831587,0.060356964168413185,0.060356964168413185,1.4331550015435037,1.0652822006911038,1.5728414782637348,1.4749213920115065,1.3209736263304999,1.36670311264872,0.8492519474781964,1.03812849555333,1.8561233937563295,1.3396517270231154,1.1349169384306992,0.9116279069767442,0.6325581395348837
"RELIANCE","2025-03-19","Energy",4.45,4.433836423937946,0.016163576062053764,0.016163576062053764,1.5155569308748034,1.1444250886030327,1.7948247361303673,1.5442768601946515,1.3824768896427004,1.415165376764309,0.842030947001602,0.6448895856618686,0.7109362689747234,1.2981088764791258,1.1671535369627037,0.9395348837209302,0.6976744186046512
"RELIANCE","2025-03-18","Energy",3.57,3.5182596304905833,0.05174036950941652,0.05174036950941652,1.070243248651039,1.1950435259979613,1.2619220368299282,1.085099683101388,1.3789778509126147,1.4040735506973319,1.233769286348325,0.5884896204658292,0.00423670468929285,1.1496360217439683,1.135182271973192,0.4046511627906977,0.7209302325581395
"RELIANCE","2025-03-17","Energy",4.04,4.053901360911728,-0.013901360911727778,0.013901360911727778,1.3085264499115348,1.161991996287118,1.5670027130423343,1.3289180262436762,1.5111616308262532,1.5416899819366612,1.0666660341559728,1.0820907615568638,0.7898123731233239,1.3323295675768956,1.110085054750737,0.8697674418604651,0.7023255813953488
"RELIANCE","2025-03-13","Energy",3.28,3.28135302663104,-0.0013530266310399774,0.0013530266310399774,1.0701383666693312,1.0485112936344971,1.1098232974862878,1.100689012706404,0.819890151210232,0.8475706376611738,0.7386298179256319,0.8707273206882943,0.761460343914921,1.389648042667505,1.099824248293841,0.6511627906976745,0.48372093023255813
"RELIANCE","2025-03-12","Energy",4.6,4.566694656400616,0.033305343599383974,0.033305343599383974,1.618323886149821,1.1197518743305963,1.8967764455184182,1.666016756213654,1.047222162744143,1.0822762415488156,0.6040944361277911,0.7950858667077381,0.7881385897607074,1.3559334483916714,1.1215497584550198,0.9302325581395349,0.6883720930232559
"RELIANCE","2025-03-11","Energy",4.32,4.333617455166232,-0.013617455166231807,0.013617455166231807,1.480481875183363,1.1312095769164294,1.7107901352441217,1.5127597320912658,0.89436942769649,0.9160758522748006,0.5779226575385709,0.8311284295359087,0.7133941865593025,1.1160014646659735,1.0520732929083139,0.9348837209302325,0.772093023255814
"RELIANCE","2025-03-10","Energy",3.19,3.1744642122230693,0.015535787776930654,0.015535787776930654,0.96899458384183,1.113687824118034,1.0557032112455393,0.9936795038350656,1.0726302712931168,1.1018662050201942,1.0977547733745376,0.9452214606337055,0.8945021783170605,1.0651836926871414,0.9185887996437124,0.3953488372093023,0.6325581395348837
"RELIANCE","2025-03-07","Energy",2.69,2.651372130003428,0.038627869996572084,0.038627869996572084,0.8985279349727274,0.9113224776904784,0.8139822855645873,0.9186663530529567,1.5258519509431674,1.5641619143779077,1.6843732564857492,1.960082348483364,3.834743511127563,1.0842177296468252,0.8384203495613639,0.27906976744186046,0.32558139534883723
"RELIANCE","2025-03-06","Energy",3.11,3.072147590370622,0.03785240962937797,0.03785240962937797,1.3280285592468672,0.7307560971226252,0.964728253020519,1.3065605135768523,1.3675615341836411,1.3465705696024701,0.9989574376097802,1.410851542605708,3.859869164106377,1.1027460736546357,0.8885633196625253,0.7813953488372093,0.10697674418604651
"RELIANCE","2025-03-05","Energy",2.85,2.7452126801157504,0.10478731988424972,0.10478731988424972,1.026096694720881,0.8731824738709878,0.8728995261083484,0.9841014826476172,0.7890241281005604,0.7565652744375901,0.7654775365094085,1.2474177644465259,1.3903753664298713,0.8642834619073246,0.9817624775968111,0.35348837209302325,0.14418604651162792
"RELIANCE","2025-03-04","Energy",3.08,3.034167558541453,0.045832441458546924,0.045832441458546924,0.9541129669961586,1.0617513879939626,1.0066920003577564,0.9043565254877736,1.04624122414284,0.9926460287323121,1.073040946208495,0.6834514160627572,0.9050231956989615,1.0174915362027919,1.0628251510827809,0.3581395348837209,0.6232558139534884
"RELIANCE","2025-03-03","Energy",2.29,2.2614290236793435,0.028570976320656527,0.028570976320656527,0.6126407240049345,1.0103535709254827,0.6032105619303977,0.5807129716297975,1.7411272909134914,1.6487532091408805,2.9513876342244525,2.5221293408458028,2.9680325228135,1.082797800722535,1.1044103937347856,0.018604651162790697,0.5534883720930233
"TCS","2025-04-29","Technology",2.63,2.5896923242805334,0.040307675719466474,0.040307675719466474,0.8904043524932068,0.8468805884536224,0.7604717697596789,0.914405523004502,0.47157779551515994,0.4884602033667265,0.5282706194898293,0.8380287797920026,0.7654276466056914,0.9300058495821211,0.8741498856954593,0.3888888888888889,0.18055555555555555
