symbol,industry,in_our_universe
DISHTV,TV Broadcasting & Software Production Companies,0
DIVGIITTS,Auto Components & Equipments Companies,1
DIVISLAB,Pharmaceuticals Companies,1
DIXON,Consumer Electronics Companies,1
DJML,Logistics Companies,1
DLF,"Residential, Commercial Projects Companies",1
DLINKINDIA,Computers Hardware & Equipments Companies,1
DMART,Diversified Retail Companies,1
DMCC,Speciality Chemical Companies,1
DNAMEDIA,Electronic Media Companies,1
DODLA,Dairy Products Companies,1
DOLATALGO,Stockbroking & Allied Companies,1
DOLLAR,Garments & Apparels Companies,1
DOLPHIN,Offshore Support Solution Drilling Companies,1
DOMS,Stationary Companies,1
DONEAR,Textiles Companies,1
DPABHUSHAN,"Gems, Jewellery And Watches Companies",1
DPEL,Cables - Electricals Companies,0
DPSCLTD,Integrated Power Utilities Companies,0
DPWIRES,Iron & Steel Companies,0
DRAGARWQ,Hospital Companies,1
DRCSYSTEMS,IT Consulting & Software Companies,1
DREAMFOLKS,Airport & Airport services Companies,1
DREDGECORP,Dredging Companies,1
DRONE,Education Companies,0
DRREDDY,Pharmaceuticals Companies,1
DSFCL,Speciality Chemical Companies,0
DSSL,IT Consulting & Software Companies,1
DTIL,Tea & Coffee Companies,1
DUCOL,Dyes And Pigments Companies,0
DUCON,IT Consulting & Software Companies,1
DUGLOBAL,"Tour, Travel Related Services Companies",0
DURLAX,"Furniture, Home Furnishing Companies",0
DVL,Diversified Companies,1
DWARKESH,Sugar Companies,1
DYCL,Cables - Electricals Companies,1
DYNAMATECH,Industrial Products Companies,1
DYNPRO,Speciality Chemical Companies,1
E2E,IT Enabled Services Companies,1
EASEMYTRIP,"Tour, Travel Related Services Companies",1
EASTSILK,Textiles Companies,0
EBGNG,Computers Hardware & Equipments Companies,1
ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,1
ECOSMOBLTY,Road Transport Companies,0
EDELWEISS,Holding Company Companies,1
EDUCOMP,Education Companies,0
EFACTOR,Other Consumer Services Companies,0
EFCIL,Diversified Commercial Services Companies,1
EFFWA,Waste Management Companies,0
EICHERMOT,2/3 Wheelers Companies,1
EIDPARRY,Other Food Products Companies,1
EIEL,Water Supply & Management Companies,1
EIFFL,Packaged Foods Companies,0
EIHAHOTELS,Hotels & Resorts Companies,1
EIHOTEL,Hotels & Resorts Companies,1
EIMCOELECO,Industrial Machinery Companies,1
EKC,Iron & Steel Products Companies,1
ELANTAS,Specialty Chemicals Companies,1
ELCIDIN,Investment Company Companies,1
ELDEHSG,Real Estate Companies,1
ELECON,Heavy Electrical Equipment Companies,1
ELECTCAST,Iron & Steel Products Companies,1
ELECTHERM,Iron & Steel Companies,1
ELGIEQUIP,"Compressors, Pumps & Diesel Engines Companies",1
ELGIRUBCO,Rubber Companies,1
ELIN,Household Appliances Companies,1
ELITECON,Cigarettes & Tobacco Products Companies,1
ELLEN,Industrial Gases Companies,1
ELPROINTL,Real Estate Companies,1
EMAMILTD,Personal Care Companies,1
EMAMIPAP,Paper & Paper Products Companies,1
EMAMIREAL,Real Estate Companies,0
EMBASSY,Real Estate Investment Trusts (REITs) Companies,0
EMBDL,"Residential, Commercial Projects Companies",1
EMCURE,Pharmaceuticals Companies,1
EMIL,Diversified Retail Companies,1
EMKAY,Stockbroking & Allied Companies,1
EMMBI,Packaging Companies,0
EMMVEE,Other Electrical Equipment Companies,1
EMSLIMITED,Waste Management Companies,1
EMUDHRA,IT Enabled Services Companies,1
ENCOMPAS,Trading & Distributors Companies,0
ENDURANCE,Auto Components & Equipments Companies,1
ENERGYDEV,Civil Construction Companies,1
ENERGYINF,Gas Transmission/Marketing Companies,0
ENGINERSIN,Civil Construction Companies,1
ENIL,Media & Entertainment Companies,1
ENRIN,Heavy Electrical Equipment Companies,1
ENTERO,Pharmacy Retail Companies,1
ENVIRO,Other Industrial Products Companies,0
EPACK,Household Appliances Companies,1
EPACKPEB,Industrial Machinery Companies,1
EPIGRAL,Specialty Chemicals Companies,1
EPL,Packaging Companies,1
EPWINDIA,Computers Hardware & Equipments Companies,0
EQUIPPP,IT Consulting & Software Companies,0
EQUITASBNK,Other Bank Companies,1
ERIS,Biotechnology Companies,1
EROSMEDIA,Entertainment Companies,0
ESABINDIA,Other Industrial Products Companies,1
ESAFSFB,Other Bank Companies,1
ESCONET,Computers Hardware & Equipments Companies,0
ESCORTS,Tractors Companies,1
ESFL,Plastic Products - Consumer Companies,0
ESPRIT,Granites & Marbles Companies,0
ESSARSHPNG,Shipping Companies,1
ESSENTIA,Textiles Companies,0
ESTER,Packaging Companies,1
ETERNAL,E-Retail/ E-Commerce Companies,1
ETHOSLTD,"Gems, Jewellery And Watches Companies",1
ETL,Industrial Products Companies,0
ETML,Tyres & Rubber Products Companies,0
EUREKAFORB,Household Appliances Companies,1
EUROASIA,Aerospace & Defense Companies,0
EUROBOND,"Aluminium, Copper & Zinc Products Companies",1
EUROPRATIK,"Furniture, Home Furnishing Companies",1
EUROTEXIND,Textiles Companies,0
EVEREADY,Household Products Companies,1
EVERESTIND,Other Construction Materials Companies,0
EXCELINDUS,Pesticides & Agrochemicals Companies,1
EXCELSOFT,IT Consulting & Software Companies,1
EXICOM,Heavy Electrical Equipment Companies,1
EXIDEIND,Auto Components & Equipments Companies,1
EXIMROUTES,Paper & Paper Products Companies,0
EXPLEOSOL,IT Consulting & Software Companies,1
EXXARO,Ceramics Companies,1
FABTECH,"Healthcare Research, Analytics & Technology Companies",1
FACT,Fertilizers Companies,1
FAIRCHEMOR,Commodity Chemical Companies,0
FAZE3Q,Other Textile Products Companies,1
FCL,Speciality Chemical Companies,1
FCONSUMER,Diversified Retail Companies,0
FCSSOFT,IT Consulting & Software Companies,0
FDC,Pharmaceuticals Companies,1
FEDERALBNK,Private Sector Bank Companies,1
FEDFINA,Non Banking Financial Company (NBFC) Companies,1
FEL,Diversified Retail Companies,0
FELDVR,Diversified Retail Companies,0
FELIX,Water Supply & Management Companies,0
FIBERWEB,Packaging Companies,1
FIEMIND,Auto Components & Equipments Companies,1
FILATEX,Other Textile Products Companies,1
FILATFASH,Garments & Apparels Companies,0
FINBUD,Financial Technology (Fintech) Companies,0
FINCABLES,Cables - Electricals Companies,1
FINEORG,Specialty Chemicals Companies,1
FINKURVE,Non Banking Financial Company (NBFC) Companies,1
FINOPB,Other Bank Companies,1
FINPIPE,Plastic Products - Industrial Companies,1
FIRSTCRY,E-Retail/ E-Commerce Companies,1
FISCHER,Medical Equipment & Supplies Companies,1
FIVESTAR,Non Banking Financial Company (NBFC) Companies,1
FLAIR,Stationary Companies,1
FLEXITUFF,Packaging Companies,0
FLFL,Diversified Retail Companies,0
FLUOROCHEM,Specialty Chemicals Companies,1
FLYSBS,Airline Companies,0
FMGOETZE,Auto Components & Equipments Companies,1
FMNL,Real Estate Companies,0
FOCE,"Gems, Jewellery And Watches Companies",0
FOCUS,Consumer Electronics Companies,0
FONEBOX,Speciality Retail Companies,0
FOODSIN,Packaged Foods Companies,1
FORCEMOT,Passenger Cars & Utility Vehicles Companies,1
FORTIS,Hospital Companies,1
FOSECOIND,Specialty Chemicals Companies,1
FRACTAL,Computers - Software & Consulting Companies,1
FREDUN,Pharmaceuticals Companies,0
FRESHARA,Other Food Products Companies,0
FROG,Telecom -  Equipment & Accessories Companies,0
FRONTSP,Railway Wagons Companies,1
FSC,Logistics Companies,0
FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,1
FUSION,Microfinance Institutions Companies,1
FWSTC,Education Companies,0
GABRIEL,Auto Components & Equipments Companies,1
GAEL,Other Agricultural Products Companies,1
GAIL,Gas Transmission/Marketing Companies,1
GALAPREC,Industrial Machinery Companies,1
GALAXYSURF,Specialty Chemicals Companies,1
GALLANTT,Iron & Steel Products Companies,1
GANDHAR,Lubricants Companies,1
GANDHITUBE,Iron & Steel Products Companies,1
GANECOS,Other Textile Products Companies,1
GANESHBE,Oil Storage & Transportation Companies,1
GANESHCP,Packaged Foods Companies,1
GANESHHOU,"Residential, Commercial Projects Companies",1
GANGABATH,Sanitary Ware Companies,0
GANGAFORGE,Iron & Steel Companies,0
GANGESSECU,Tea & Coffee Companies,1
GANGOTRI,Textiles Companies,0
GARFIBRES,Other Textile Products Companies,1
GARUDA,Civil Construction Companies,1
GATECH,Stock Broking Companies,1
GATECHDVR,Stock Broking Companies,1
GATEWAY,Logistics Solution Provider Companies,1
GAUDIUMIVF,Hospital Companies,0
GAYAHWS,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",1
GAYAPROJ,Civil Construction Companies,0
GCSL,Other Capital Market related Services Companies,1
GEECEE,Real Estate Companies,0
GEEKAYWIRE,Heavy Electrical Equipment Companies,1
GEMAROMA,Speciality Chemical Companies,1
GENCON,Civil Construction Companies,1
GENESYS,IT Enabled Services Companies,1
GENSOL,Civil Construction Companies,0
GENUSPAPER,Paper & Paper Products Companies,1
GENUSPOWER,Other Electrical Equipment Companies,1
GEOJITFSL,Stockbroking & Allied Companies,1
GESHIP,Shipping Companies,1
GFLLIMITED,Holding Company Companies,1
GFSTEELS,Iron & Steel Companies,0
GHCL,Commodity Chemicals Companies,1
GHCLTEXTIL,Commodity Chemical Companies,1
GHVINFRA,Civil Construction Companies,0
GICHSGFIN,Housing Finance Company Companies,1
GICL,Logistics Solution Provider Companies,1
GICRE,General Insurance Companies,1
GILLANDERS,Tea & Coffee Companies,1
GILLETTE,Personal Care Companies,1
GINNIFILA,Textiles Companies,0
GIPCL,Power Generation Companies,1
GKENERGY,Power Generation & Distribution Companies,1
GKSL,Hospital Companies,1
GKWLIMITED,Investment Company Companies,1
GLAND,Pharmaceuticals Companies,1
GLAXO,Pharmaceuticals Companies,1
GLENMARK,Pharmaceuticals Companies,1
GLFL,Non Banking Financial Company (NBFC) Companies,0
GLOBAL,Education Companies,1
GLOBALE,Trading - Textile Products Companies,0
GLOBALVECT,Airline Companies,1
GLOBE,Textiles Companies,1
GLOBECIVIL,Civil Construction Companies,0
GLOBUSSPR,Breweries & Distilleries Companies,1
GLOSTERLTD,Jute & Jute Products Companies,1
GLOTTIS,Logistics Solution Provider Companies,0
GMBREW,Breweries & Distilleries Companies,1
GMDCLTD,Industrial Minerals Companies,1
GML,Medical Equipment & Supplies Companies,0
GMMPFAUDLR,Industrial Products Companies,1
GMRAIRPORT,Airport & Airport services Companies,1
GMRP&UI,Power Generation Companies,1
GNA,Auto Components & Equipments Companies,1
GNFC,Commodity Chemicals Companies,1
GNRL,Oil Exploration & Production Companies,1
GOACARBON,Industrial Minerals Companies,1
GOCLCORP,Explosives Companies,1
GOCOLORS,Speciality Retail Companies,1
GODAVARIB,Diversified FMCG Companies,1
GODFRYPHLP,Cigarettes & Tobacco Products Companies,1
GODIGIT,General Insurance Companies,1
GODREJAGRO,Animal Feed Companies,1
GODREJCP,Personal Care Companies,1
GODREJIND,Diversified Companies,1
GODREJPROP,"Residential, Commercial Projects Companies",1
GOENKA,Textiles Companies,0
GOKEX,Garments & Apparels Companies,1
GOKUL,Edible Oil Companies,1
GOKULAGRO,Edible Oil Companies,1
GOLDENTOBC,Cigarettes/Tobacco Companies,0
GOLDIAM,"Gems, Jewellery And Watches Companies",1
GOLDTECH,Software Products Companies,0
GOODLUCK,Iron & Steel Products Companies,1
GOODYEAR,Tyres & Rubber Products Companies,1
GOPAL,Packaged Foods Companies,1
GOYALALUM,Iron & Steel Products Companies,1
GOYALSALT,Other Food Products Companies,0
GPIL,Iron & Steel Products Companies,1
GPPL,Port & Port services Companies,1
GPTHEALTH,Hospital Companies,1
GPTINFRA,Civil Construction Companies,1
GRANDOAK,Breweries & Distilleries Companies,1
GRANULES,Pharmaceuticals Companies,1
GRAPHISAD,Advertising & Media Agencies Companies,0
GRAPHITE,Electrodes & Refractories Companies,1
GRASIM,Cement & Cement Products Companies,1
GRAUWEIL,Commodity Chemicals Companies,1
GRAVITA,Industrial Minerals Companies,1
GRCL,Rubber Companies,0
GREAVESCOT,"Compressors, Pumps & Diesel Engines Companies",1
GREENCHEF,Household Appliances Companies,0
GREENLAM,Plywood Boards/ Laminates Companies,1
GREENLEAF,Waste Management Companies,0
GREENPANEL,Plywood Boards/ Laminates Companies,1
GREENPLY,Plywood Boards/ Laminates Companies,1
GREENPOWER,Power Generation Companies,1
GRETEX,Media & Entertainment Companies,0
GRINDWELL,Abrasives & Bearings Companies,1
GRINFRA,Civil Construction Companies,1
GRMOVER,Other Agricultural Products Companies,1
GROBTEA,Tea & Coffee Companies,1
GROWW,Stockbroking & Allied Companies,1
GRPLTD,Rubber Companies,1
GRSE,Aerospace & Defense Companies,1
GRWRHITECH,Plastic Products - Industrial Companies,1
GSFC,Fertilizers Companies,1
GSLSU,Granites & Marbles Companies,1
GSPCROP,Pesticides & Agrochemicals Companies,1
GSPL,Gas Transmission/Marketing Companies,0
GSS,IT Software Products Companies,1
GTECJAINX,E-Learning Companies,0
GTL,Other Telecom Services Companies,1
GTLINFRA,Telecom - Infrastructure Companies,1
GTPL,TV Broadcasting & Software Production Companies,1
GUFICBIO,Pharmaceuticals Companies,1
GUJALKALI,Commodity Chemicals Companies,1
GUJAPOLLO,Industrial Machinery Companies,1
GUJGASLTD,LPG/CNG/PNG/LNG Supplier Companies,0
GUJRAFFIA,Plastic Products Companies,1
GUJTHEM,Pharmaceuticals Companies,1
GULFOILLUB,Lubricants Companies,1
GULFPETRO,Lubricants Companies,0
GULPOLY,Other Agricultural Products Companies,1
GURUNANAK,Tractors Companies,0
GVKPIL,Renewable Energy Companies,0
GVPIL,Heavy Electrical Equipment Companies,1
GVPTECH,Internet & Catalogue Retail Companies,1
GVT&D,Heavy Electrical Equipment Companies,1
HAL,Aerospace & Defense Companies,1
HALDER,Other Agricultural Products Companies,1
HALEOSLABS,Pharmaceuticals Companies,1
HAPPSTMNDS,Computers - Software & Consulting Companies,1
HAPPYFORGE,Castings & Forgings Companies,1
HARAFIN,Other Financial Services Companies,0
HARDWYN,"Furniture, Home Furnishing Companies",1
HARIOMPIPE,Iron & Steel Companies,1
HARRMALAYA,Rubber Companies,1
HARSHA,Other Industrial Products Companies,1
HATHWAY,TV Broadcasting & Software Production Companies,1
HATSUN,Dairy Products Companies,1
HAVELLS,Consumer Electronics Companies,1
HAVISHA,Gas Transmission/Marketing Companies,1
HAWKINCOOK,Household Appliances Companies,1
HBLENGINE,Other Industrial Products Companies,1
HBSL,Non Banking Financial Company (NBFC) Companies,0
HCC,Civil Construction Companies,1
HCG,Hospital Companies,1
HCL-INSYS,Computers Hardware & Equipments Companies,1
HCLTECH,Computers - Software & Consulting Companies,1
HDBFS,Non Banking Financial Company (NBFC) Companies,1
HDFCAMC,Asset Management Company Companies,1
HDFCBANK,Private Sector Bank Companies,1
HDFCLIFE,Life Insurance Companies,1
HDIL,Real Estate Companies,0
HEADSUP,Trading - Textile Products Companies,1
HECPROJECT,Civil Construction Companies,1
HEG,Electrodes & Refractories Companies,1
HEIDELBERG,Cement & Cement Products Companies,1
HEMIPROP,Diversified Commercial Services Companies,1
HERANBA,Pesticides & Agrochemicals Companies,1
HERITGFOOD,Dairy Products Companies,1
HEROMOTOCO,2/3 Wheelers Companies,1
HESTERBIO,Pharmaceuticals Companies,1
HEXATRADEX,Investment Company Companies,1
HEXT,Computers - Software & Consulting Companies,1
HFCL,Telecom - Infrastructure Companies,1
HGINFRA,Civil Construction Companies,1
HGM,IT Consulting & Software Companies,1
HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,1
HIGREEN,Waste Management Companies,0
HIKAL,Pharmaceuticals Companies,1
HILINFRA,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
HILTON,Castings & Forgings Companies,0
HIMATSEIDE,Other Textile Products Companies,1
HINDALCO,Aluminium Companies,1
HINDCOMPOS,Auto Components & Equipments Companies,1
HINDCON,Paints/Varnish Companies,0
HINDCOPPER,Copper Companies,1
HINDMOTORS,Passenger Cars & Utility Vehicles Companies,0
HINDOILEXP,Oil Exploration & Production Companies,1
HINDPETRO,Refineries & Marketing Companies,1
HINDUNILVR,Diversified FMCG Companies,1
HINDWAREAP,Sanitary Ware Companies,1
HINDZINC,Zinc Companies,1
HIRECT,Heavy Electrical Equipment Companies,1
HISARMETAL,Iron & Steel Companies,1
HITECH,Iron & Steel Companies,1
HITECHCORP,Packaging Companies,0
HITECHGEAR,Auto Components & Equipments Companies,0
HLEGLAS,Industrial Machinery Companies,1
HLVLTD,Hotels & Resorts Companies,1
HMAAGRO,Meat Products including Poultry Companies,1
HMT,Industrial Machinery Companies,0
HMVL,Print Media Companies,1
HNDFDS,Diversified FMCG Companies,1
HOACFOODS,Other Food Products Companies,0
HOMEFIRST,Housing Finance Company Companies,1
HOMESFY,Real Estate related services Companies,0
HONASA,Personal Care Companies,1
HONAUT,Industrial Products Companies,1
HONDAPOWER,Heavy Electrical Equipment Companies,1
HPAL,Speciality Chemical Companies,1
HPIL,Dyes And Pigments Companies,1
HPL,Heavy Electrical Equipment Companies,1
HPTL,Trading & Distributors Companies,0
HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,0
HSCL,Carbon Black Companies,1
HTMEDIA,Print Media Companies,1
HUBTOWN,"Residential, Commercial Projects Companies",1
HUDCO,Financial Institution Companies,1
HUHTAMAKI,Packaging Companies,1
HYBRIDFIN,Other Financial Services Companies,0
HYPERSOFT,Computers - Software & Consulting Companies,0
HYUNDAI,Passenger Cars & Utility Vehicles Companies,1
IBULLSLTD,Diversified Commercial Services Companies,0
ICDSLTD,Housing Finance Companies,1
ICEMAKE,Consumer Electronics Companies,1
ICICIAMC,Asset Management Company Companies,1
ICICIBANK,Private Sector Bank Companies,1
ICICIGI,General Insurance Companies,1
ICICIPRULI,Life Insurance Companies,1
ICIL,Other Textile Products Companies,1
ICRA,Ratings Companies,1
IDBI,Private Sector Bank Companies,1
IDEA,Telecom - Cellular & Fixed line services Companies,1
IDEAFORGE,Aerospace & Defense Companies,0
IDENTICAL,Media & Entertainment Companies,0
IDFCFIRSTB,Private Sector Bank Companies,1
IEX,Exchange and Data Platform Companies,1
IFBAGRO,Breweries & Distilleries Companies,0
IFBIND,Household Appliances Companies,1
IFCI,Financial Institution Companies,1
IFGLEXPOR,Electrodes & Refractories Companies,1
IGARASHI,Auto Components & Equipments Companies,1
IGCL,Pesticides & Agrochemicals Companies,1
IGIL,Diversified Commercial Services Companies,1
IGL,LPG/CNG/PNG/LNG Supplier Companies,1
IGPL,Commodity Chemicals Companies,1
IIFL,Non Banking Financial Company (NBFC) Companies,1
IIFLCAPS,Stockbroking & Allied Companies,1
IITL,Other Financial Services Companies,1
IKIO,Consumer Electronics Companies,1
IKS,IT Enabled Services Companies,1
IL&FSENGG,Civil Construction Companies,0
IL&FSTRANS,Real Estate Companies,0
IMAGICAA,Amusement Parks/ Other Recreation Companies,1
IMFA,Ferro & Silica Manganese Companies,1
IMPAL,Trading - Auto components Companies,1
IMPEXFERRO,Ferro & Silica Manganese Companies,0
INA,Heavy Electrical Equipment Companies,1
INCREDIBLE,Iron & Steel Companies,1
INDBANK,Stockbroking & Allied Companies,1
INDGN,"Healthcare Research, Analytics & Technology Companies",1
INDHOTEL,Hotels & Resorts Companies,1
INDIACEM,Cement & Cement Products Companies,1
INDIAGLYCO,Breweries & Distilleries Companies,1
INDIAMART,Internet & Catalogue Retail Companies,1
INDIANB,Public Sector Bank Companies,1
INDIANCARD,Industrial Machinery Companies,1
INDIANHUME,Civil Construction Companies,1
INDIASHLTR,Housing Finance Company Companies,1
INDIFRA,Gas Transmission/Marketing Companies,0
INDIGO,Airline Companies,1
INDIGOPNTS,Paints Companies,1
INDIGRID,Power - Transmission Companies,0
INDIQUBE,Diversified Commercial Services Companies,1
INDLMETER,Heavy Electrical Equipment Companies,0
INDNIPPON,Auto Components & Equipments Companies,1
INDOAMIN,Speciality Chemical Companies,0
INDOBORAX,Commodity Chemicals Companies,1
INDOCO,Pharmaceuticals Companies,1
INDOFARM,Tractors Companies,1
INDOKEM,Dyes And Pigments Companies,0
INDORAMA,Textiles Companies,1
INDOSTAR,Non Banking Financial Company (NBFC) Companies,1
INDOTECH,Heavy Electrical Equipment Companies,0
INDOTHAI,Stockbroking & Allied Companies,1
INDOUS,Other Agricultural Products Companies,1
INDOWIND,Power Generation Companies,0
INDPRUD,Investment Company Companies,1
INDRAMEDCO,Hospital Companies,1
INDSWFTLAB,Pharmaceuticals Companies,1
INDTERRAIN,Textiles Companies,1
INDUSINDBK,Private Sector Bank Companies,1
INDUSINVIT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
INDUSTOWER,Telecom - Infrastructure Companies,1
INFOBEAN,IT Software Products Companies,1
INFOMEDIA,Printing & Publication Companies,1
INFY,Computers - Software & Consulting Companies,1
INGERRAND,"Compressors, Pumps & Diesel Engines Companies",1
INM,"Furniture, Home Furnishing Companies",0
INNOMET,Diversified Metals Companies,0
INNOVACAP,Pharmaceuticals Companies,1
INNOVANA,IT Consulting & Software Companies,1
INNOVISION,Trading & Distributors Companies,1
INOXGREEN,Power Generation Companies,1
INOXINDIA,Other Industrial Products Companies,1
INOXWIND,Heavy Electrical Equipment Companies,1
INSECTICID,Pesticides & Agrochemicals Companies,1
INSPIRE,Media & Entertainment Companies,0
INSPIRISYS,IT Consulting & Software Companies,0
INTELLECT,Computers - Software & Consulting Companies,1
INTENTECH,IT Software Products Companies,1
INTERARCH,Industrial Machinery Companies,1
INTERISE,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
INTLCONV,Heavy Electrical Equipment Companies,1
INVENTURE,Stock Broking Companies,1
INVICTA,Healthcare Service Provider Companies,0
IOB,Public Sector Bank Companies,1
IOC,Refineries & Marketing Companies,1
IOLCP,Speciality Chemical Companies,1
IONEXCHANG,Water Supply & Management Companies,1
IPCALAB,Pharmaceuticals Companies,1
IPL,Pesticides & Agrochemicals Companies,1
IRB,Civil Construction Companies,1
IRBINVIT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
IRCON,Civil Construction Companies,1
IRCTC,"Tour, Travel Related Services Companies",1
IREDA,Financial Institution Companies,1
IRFC,Financial Institution Companies,1
IRIS,Software Products Companies,1
IRISDOREME,Garments & Apparels Companies,1
IRMENERGY,LPG/CNG/PNG/LNG Supplier Companies,1
ISCITRUST,Logistics Solution Provider Companies,0
ISFT,E-Retail/ E-Commerce Companies,1
ISGEC,Civil Construction Companies,1
ISHANCH,Speciality Chemical Companies,1
ITC,Diversified FMCG Companies,1
ITCHOTELS,Hotels & Resorts Companies,1
ITDC,Hotels & Resorts Companies,1
ITI,Telecom -  Equipment & Accessories Companies,1
ITTL,Tyres & Rubber Products Companies,0
IVALUE,IT Consulting & Software Companies,1
IVC,Asset Management Company Companies,1
IVP,Speciality Chemical Companies,0
IXIGO,"Tour, Travel Related Services Companies",1
IZMO,IT Consulting & Software Companies,1
J&KBANK,Private Sector Bank Companies,1
JAGRAN,Print Media Companies,1
JAGSNPHARM,Pharmaceuticals Companies,1
JAIBALAJI,Iron & Steel Companies,0
JAICORPLTD,Plastic Products - Industrial Companies,1
JAINAM,Ferro & Silica Manganese Companies,0
JAINIK,Aluminium Companies,0
JAINREC,Diversified Metals Companies,1
JAIPURKURT,Textiles Companies,1
JAMNAAUTO,Auto Components & Equipments Companies,1
JARO,E-Learning Companies,1
JASH,Industrial Products Companies,1
JAYAGROGN,Sugar Companies,1
JAYBARMARU,Auto Components & Equipments Companies,1
JAYKAY,Aerospace & Defense Companies,1
JAYNECOIND,Iron & Steel Products Companies,1
JAYSREETEA,Tea & Coffee Companies,1
JAYTEX,Other Textile Products Companies,0
JBCHEPHARM,Pharmaceuticals Companies,0
JBFIND,Textiles Companies,0
JBMA,Auto Components & Equipments Companies,1
JETAIRWAYS,Airline Companies,0
JETFREIGHT,Logistics Companies,1
JEYYAM,Other Food Products Companies,0
JGCHEM,Commodity Chemicals Companies,1
JHS,Personal Care Companies,1
JINDALPHOT,Investment Company Companies,1
JINDALPOLY,Packaging Companies,1
JINDALSAW,Iron & Steel Products Companies,1
JINDALSTEL,Iron & Steel Companies,1
JINDRILL,Offshore Support Solution Drilling Companies,1
JINDWORLD,Other Textile Products Companies,1
JIOFIN,Investment Company Companies,1
JISLDVREQS,Other Construction Materials Companies,1
JISLJALEQS,Plastic Products - Industrial Companies,1
JITFINFRA,Water Supply & Management Companies,1
JKCEMENT,Cement & Cement Products Companies,1
JKIL,Civil Construction Companies,1
JKIPL,"Dealers-Commercial Vehicles, Tractors, Construction Vehicles Companies",0
JKLAKSHMI,Cement & Cement Products Companies,1
JKPAPER,Paper & Paper Products Companies,1
JKTYRE,Tyres & Rubber Products Companies,1
JLHL,Hospital Companies,1
JMA,Trading - Auto components Companies,1
JMFINANCIL,Holding Company Companies,1
JNKINDIA,Industrial Machinery Companies,1
JOCIL,Speciality Chemical Companies,0
JPASSOCIAT,Civil Construction Companies,0
JPOLYINVST,Investment Company Companies,1
JPPOWER,Power Generation Companies,1
JSFB,Other Bank Companies,1
JSL,Iron & Steel Companies,1
JSLL,Pharmaceuticals Companies,1
JSWCEMENT,Cement & Cement Products Companies,1
JSWDULUX,Paints Companies,1
JSWENERGY,Power Generation Companies,1
JSWHL,Investment Company Companies,1
JSWINFRA,Port & Port services Companies,1
JSWSTEEL,Iron & Steel Companies,1
JTEKTINDIA,Auto Components & Equipments Companies,1
JTLIND,Iron & Steel Products Companies,1
JUBLCPL,Edible Oil Companies,1
JUBLFOOD,Restaurants Companies,1
JUBLINGREA,Specialty Chemicals Companies,1
JUBLPHARMA,Pharmaceuticals Companies,1
JUNIPER,Hotels & Resorts Companies,1
JUSTDIAL,Internet & Catalogue Retail Companies,1
JWL,Railway Wagons Companies,1
JYOTHYLAB,Household Products Companies,1
JYOTICNC,Industrial Products Companies,1
JYOTIRES,Specialty Chemicals Companies,0
JYOTISTRUC,Civil Construction Companies,1
KABRAEXTRU,Industrial Machinery Companies,1
KAJARIACER,Ceramics Companies,1
KAKATCEM,Cement & Cement Products Companies,0
KALAMANDIR,Speciality Retail Companies,1
KALIND,Diversified Companies,0
KALPATARU,"Residential, Commercial Projects Companies",1
KALYANIFRG,Castings & Forgings Companies,1
KALYANKJIL,"Gems, Jewellery And Watches Companies",1
KAMAHOLD,Investment Company Companies,1
KAMATHOTEL,Hotels & Resorts Companies,1
KAMDHENU,Iron & Steel Companies,0
KAMOPAINTS,Paints Companies,1
KANANIIND,"Diamond, Gems and Jewellery Companies",1
KANDARP,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,0
KANORICHEM,Speciality Chemical Companies,0
KANPRPLA,Packaging Companies,1
KANSAINER,Paints Companies,1
KAPSTON,Diversified Commercial Services Companies,1
KARMAENG,Power Generation & Distribution Companies,1
KARNIKA,Garments & Apparels Companies,0
KARURVYSYA,Private Sector Bank Companies,1
KAUSHALYA,Civil Construction Companies,0
KAVDEFENCE,Telecom -  Equipment & Accessories Companies,1
KAYA,Wellness Companies,1
KAYNES,Industrial Products Companies,1
KCP,Cement & Cement Products Companies,1
KCPSUGIND,Sugar Companies,1
KDDL,"Gems, Jewellery And Watches Companies",1
KDL,Telecom - Infrastructure Companies,0
KEC,Civil Construction Companies,1
KECL,Heavy Electrical Equipment Companies,0
KEEPLEARN,Education Companies,1
KEI,Cables - Electricals Companies,1
KEL,Consumer Electronics Companies,0
KELLTONTEC,IT Consulting & Software Companies,1
KENNAMET,Industrial Products Companies,1
KERNEX,Transport Related Services Companies,1
KESAR,"Residential, Commercial Projects Companies",0
KESORAMIND,Cement & Cement Products Companies,0
KEYFINSERV,Stock Broking Companies,1
KFINTECH,"Depositories, Clearing Houses and Other Intermediaries Companies",1
KHADIM,Footwear Companies,0
